序号,楼盘名称,物业类型,销售状态,位置,房型,面积,标签,单价,总价
1,碧桂园凤凰国际公馆,住宅,在售,坪山区/坪山/碧沙北路以西、龙勤路以南,3室/4室,建面 65-120㎡,小户型绿化率高,30600元/平(均价),总价280万/套起
2,银领公馆,住宅,在售,龙岗区/布吉大芬/龙岗布澜路与龙岗大道交汇处,2室/3室,建面 47-79㎡,小户型绿化率高,49000元/平(均价),总价367万/套起
3,东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,2室/5室,建面 80-177㎡,品牌房企小户型绿化率高,76000元/平(均价),总价705万/套起
4,富宏凤凰天誉,住宅,在售,宝安区/西乡/西乡前进二路与宝田一路交汇处,2室/3室,建面 80-117㎡,绿化率高车位充足,65000元/平(均价),总价510万/套起
5,红山6979,底商,在售,龙华区/红山/腾龙路与中梅路交汇处东侧,,,品牌房企现房绿化率高车位充足低密度,140000元/平(均价),暂无
6,天玑公馆,商业类,在售,龙华区/龙华中心/港铁四号线清湖北站（建设中）旁,1室,建面 36-40㎡,品牌房企小户型绿化率高,45000元/平(均价),总价155万/套起
7,中粮天悦广场,底商,在售,宝安区/新安/深圳宝安新安二路与公园路交汇处,,,绿化率高,150000元/平(均价),暂无
8,怡瑞达乐郡,住宅,在售,龙岗区/龙岗宝荷/龙岗街道深汕路与乐园路交汇处南侧,3室,建面 85-89㎡,绿化率高低密度,34000元/平(均价),总价290万/套起
9,满京华云晓公馆,住宅,在售,宝安区/西乡/西乡黄田村107国道俊景园北侧,2室/3室/4室,建面 62-155㎡,小户型现房绿化率高复式,55000元/平(均价),总价460万/套起
10,鹏华世家华府,住宅,在售,龙岗区/平湖/平湖广场东侧,3室/4室,建面 100-131㎡,现房绿化率高品质住宅,37000元/平(均价),总价370万/套起
11,传麒东湖名苑,住宅,在售,罗湖区/百仕达/布心路与爱国路交汇处,2室/3室/4室,建面 70-174㎡,近地铁小户型绿化率高花园洋房,69000元/平(均价),总价450万/套起
12,中粮祥云,住宅,在售,龙岗区/大运新城/龙岗大道和如意路的交汇处,4室,建面 90-131㎡,绿化率高车位充足近地铁,45000元/平(均价),总价589万/套起
13,半山悦海花园,住宅,在售,盐田区/沙头角/沙头角梧桐山隧道口旁,2室/3室/4室,建面 82-180㎡,绿化率高品质住宅,54000元/平(均价),总价428万/套起
